category,title,location,regular_price,discount_price,disc_amt,summary,link
tanning,The Lash Bar,"3397 North 1200 East, Lehi",15.0,12.0,80,One 12-Minute UV-Tanning Session,https://www.groupon.com/deals/the-lash-bar-12?deal_option=dec07af3-6e27-4795-b9c0-67162c9abd5a
tanning,The Reef Tanning Spa,"13226 South 5600 West, Herriman",88.0,6.0,6,One Week All UV Pass,https://www.groupon.com/deals/the-reef-tanning-spa-8?deal_option=2bbefd20-6bcd-43b7-a40b-6dcda2dda4a0
spas,The Reef Tanning Spa,"13226 South 5600 West, Herriman",88.0,6.0,6,One Week All UV Pass,https://www.groupon.com/deals/the-reef-tanning-spa-8?deal_option=2bbefd20-6bcd-43b7-a40b-6dcda2dda4a0
gyms,The SG Dance Company,"7817 South Highland Drive, Cottonwood Heights",47.0,19.0,40,Four - One Hour Fitness Classes,https://www.groupon.com/deals/the-sg-dance-company-19?deal_option=0e068477-8d76-4a27-9732-e22a98e4df20
fitness,Total Body Pilates,"2065 S. 2300 E., Salt Lake City",140.0,49.0,35,Reformer Pilates,https://www.groupon.com/deals/total-body-pilates-3-8
sports,Total Knockout,"2852 South Redwood Road, West Valley City",80.0,40.0,50,Five Kickboxing Classes,https://www.groupon.com/deals/total-knockout?deal_option=350243cf-59f3-4d4a-85a6-252d6ef9abbd
sports,Ultimate Combat Training Center,"1274 East 3300 South, Salt Lake City",75.0,31.0,41,3 Classes of Utah's Best Boxing Classes,https://www.groupon.com/deals/ultimate-combat-training-center-17?deal_option=52c71537-80b0-4eaa-88e7-9c4d110783e2
sports,Ultimate Combat Training Center,"1274 East 3300 South, Salt Lake City",20.0,10.0,50,"1 Boxing, Muay Thai, Brazilian Jiu Jitsu, Strength & Conditioning or Kickboxing Class",https://www.groupon.com/deals/ultimate-combat-training-center-11?deal_option=e6a7605d-b495-468b-8331-ffb6756ee94b
sports,Ultimate Combat Training Center,"1274 East 3300 South, Salt Lake City",90.0,29.0,32,3 Brazilian Jiu Jitsu Classes ONLY $29.00,https://www.groupon.com/deals/ultimate-combat-training-center-6?deal_option=7a94c899-d894-4470-b833-153cd82f2df9
hair,Valvoline Instant Oil Change,"460 West 400 North, Bountiful",71.99,47.49,65,One Synthetic Blend Oil Change,https://www.groupon.com/deals/valvoline-instant-oil-change-171?deal_option=5f151d22-0518-4eec-884e-3d8563bd7550
spas,Valvoline Instant Oil Change,"460 West 400 North, Bountiful",71.99,47.49,65,One Synthetic Blend Oil Change,https://www.groupon.com/deals/valvoline-instant-oil-change-171?deal_option=5f151d22-0518-4eec-884e-3d8563bd7550
blowouts,Valvoline Instant Oil Change,"460 West 400 North, Bountiful",71.99,47.49,65,One Synthetic Blend Oil Change,https://www.groupon.com/deals/valvoline-instant-oil-change-171?deal_option=5f151d22-0518-4eec-884e-3d8563bd7550
fun,Valvoline Instant Oil Change,"460 West 400 North, Bountiful",71.99,47.49,65,One Synthetic Blend Oil Change,https://www.groupon.com/deals/valvoline-instant-oil-change-171?deal_option=5f151d22-0518-4eec-884e-3d8563bd7550
sports,Valvoline Instant Oil Change,"460 West 400 North, Bountiful",71.99,47.49,65,One Synthetic Blend Oil Change,https://www.groupon.com/deals/valvoline-instant-oil-change-171?deal_option=5f151d22-0518-4eec-884e-3d8563bd7550
medical,Vector Spine and Sport,"5882 South 900 East, Murray",240.0,29.0,12,"Chiropractic Exam, One Adjustment, and One Laser Therapy Session",https://www.groupon.com/deals/vector-spine-and-sport?deal_option=3ace7fec-9961-4709-ad4c-8d8ee6742312
spas,Vima Aesthetics,"1051 South Valley Grove Way, Pleasant Grove",375.0,281.0,74,Mini Lip Plump- 1/2 Syringe of Revanesse,https://www.groupon.com/deals/vima-aesthetics-2?deal_option=6f967dbf-5114-40ab-8bf1-bd92e61cd83d
